run_id,status,train_loss,eval_loss,best_eval_loss,target_eval_loss,target_eval_loss_reached,time_to_target_loss_sec,tokens_to_target_loss,samples_to_target_loss,target_peak_allocated_gb,target_peak_reserved_gb,tokens_per_sec,original_token_equivalent_tokens_per_sec,cached_hidden_steps_per_sec,samples_per_sec,peak_allocated_gb,peak_reserved_gb,final_reserved_gb,total_params,trainable_params,trainable_param_ratio,active_param_estimate,active_param_ratio,active_trainable_param_estimate,active_trainable_param_ratio,shared_frozen_params,routed_module_params,active_expert_count,expert_count,expert_compute_ratio,shared_compute_ratio,estimated_active_flop_ratio,estimated_backward_flop_ratio,checkpoint_size_mb,routing_mode,active_module_density,active_adapter_density,generated_condition_density,gen_exact_match_rate,gen_verifier_pass_rate,gen_syntax_pass_rate,gen_compile_pass_rate,distillation_enabled,distillation_weight,distillation_top_k,hard_example_replay_enabled,hard_example_count,hard_replayed_example_count,cached_backbone_offloaded_param_count,selected_device,selected_precision
20260621T045246Z-goal49-verified-code-quality-efficiency-dense-a0823bc3,completed,0.5607621669769287,4.132240056991577,0.802156537771225,,False,,,,,,9346.8158,9346.8158,,13.3599,1.6342,1.8652,1.1641,86240256,86240256,1.0,86240256,1.0,86240256,1.0,0,0,,,,,,,987.1532,none,,2.0,2.0,0.0,0.0,0.25,0.25,False,0.0,,False,,,,cuda:0,bf16
20260621T045600Z-goal49-verified-code-quality-efficiency-mop-full-907b3e5a,completed,0.8287965655326843,3.801221489906311,0.9046065509319305,,False,,,,,,8603.2559,8603.2559,,12.2971,1.7407,1.9707,1.248,93926784,93926784,1.0,91563648,0.9748,91563648,0.9748,0,4726272,,,,,0.9748406588689335,0.9748406588689335,1055.6083,oracle,0.6666666666666666,0.6666666666666666,2.0,0.0,0.0,0.34375,0.34375,False,0.0,,False,,,,cuda:0,bf16
20260621T050014Z-goal49-verified-code-quality-efficiency-warm-adapter-norm-head-128-cfb2a582,completed,1.3519514799118042,2.359459638595581,0.6206035912036896,0.8423,True,2.3459,64944,100,0.4234,1.543,40153.4344,40153.4344,,57.3935,0.4416,1.5723,0.4219,93926784,797568,0.00849137983900311,91563648,0.9748,797568,0.0085,86039808,4726272,,,,,0.9748406588689335,0.00849137983900311,7.6628,oracle,0.6666666666666666,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,False,0.0,,False,,,,cuda:0,bf16
20260621T050140Z-goal49-verified-code-quality-efficiency-cached-warm-adapter-norm-head-128-8e31967c,completed,0.7857739925384521,0.6342125535011292,0.4685359299182892,0.8423,True,1.2715,64944,100,0.0408,0.0605,87518.633,87518.633,124.6044,124.6044,0.0439,0.0605,0.0527,93926784,797568,0.00849137983900311,91563648,0.9748,797568,0.0085,86039808,4726272,,,,,0.9748406588689335,0.00849137983900311,7.6648,oracle,0.6666666666666666,0.6666666666666666,2.0,0.0,0.0,0.5,0.5,True,0.2,16,True,639,639,93129216,cuda:0,bf16
20260621T050409Z-goal49-verified-code-quality-efficiency-cached-warm-lora-rank8-6b20499d,completed,0.9634833931922913,0.7997661530971527,0.49795158207416534,0.8423,True,1.397,64944,100,0.0473,0.0625,71133.5373,71133.5373,101.2762,101.2762,0.0516,0.082,0.0566,93968256,839040,0.008928972779914102,91605120,0.9749,839040,0.0089,86039808,4726272,,,,,0.9748517627059078,0.008928972779914102,8.045,oracle,0.6666666666666666,0.6666666666666666,2.0,0.0,0.0,0.5,0.5,True,0.2,16,True,639,639,93129216,cuda:0,bf16
