run_id,status,train_loss,eval_loss,best_eval_loss,target_eval_loss,target_eval_loss_reached,time_to_target_loss_sec,tokens_to_target_loss,samples_to_target_loss,target_peak_allocated_gb,target_peak_reserved_gb,tokens_per_sec,original_token_equivalent_tokens_per_sec,cached_hidden_steps_per_sec,samples_per_sec,peak_allocated_gb,peak_reserved_gb,final_reserved_gb,total_params,trainable_params,trainable_param_ratio,active_param_estimate,active_param_ratio,active_trainable_param_estimate,active_trainable_param_ratio,shared_frozen_params,routed_module_params,active_expert_count,expert_count,expert_compute_ratio,shared_compute_ratio,estimated_active_flop_ratio,estimated_backward_flop_ratio,checkpoint_size_mb,routing_mode,active_module_density,active_adapter_density,generated_condition_density,gen_exact_match_rate,gen_verifier_pass_rate,gen_syntax_pass_rate,gen_compile_pass_rate,distillation_enabled,distillation_weight,distillation_top_k,hard_example_replay_enabled,hard_example_count,hard_replayed_example_count,cached_backbone_offloaded_param_count,selected_device,selected_precision
20260620T222409Z-goal48-code-cached-sparse-efficiency-dense-94f09844,completed,0.21724335849285126,2.4328134059906006,0.5654985010623932,,False,,,,,,7785.0067,7785.0067,,13.0878,1.6301,1.8516,1.1855,86240256,86240256,1.0,86240256,1.0,86240256,1.0,0,0,,,,,,,987.1504,none,,2.0,2.0,0.0,0.0,1.0,1.0,False,0.0,,False,,,,cuda:0,bf16
20260620T222537Z-goal48-code-cached-sparse-efficiency-mop-full-977deaee,completed,0.2200501263141632,2.296289324760437,0.9175838828086853,,False,,,,,,7199.2443,7199.2443,,12.103,1.7295,1.9316,1.2578,93410352,93410352,1.0,91047216,0.9747,91047216,0.9747,0,4726272,,,,,0.9747015619853354,0.9747015619853354,1051.0085,oracle,0.6666666666666666,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,False,0.0,,False,,,,cuda:0,bf16
20260620T222708Z-goal48-code-cached-sparse-efficiency-warm-adapter-norm-head-64-edc8435b,completed,0.5528485178947449,0.7769134342670441,0.34301140904426575,,False,,,,,,35031.894,35031.894,,58.894,0.4245,1.5605,0.4199,93631680,502464,0.005366388811991839,91268544,0.9748,502464,0.0054,86039808,4726272,,,,,0.9747613628207888,0.005366388811991839,5.034,oracle,0.6666666666666666,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,False,0.0,,False,,,,cuda:0,bf16
20260620T223015Z-goal48-code-cached-sparse-efficiency-cached-warm-adapter-norm-head-64-47b010ad,completed,0.31125155091285706,1.0762436985969543,0.42174622416496277,,False,,,,,,85669.156,85669.156,144.0229,144.0229,0.0383,0.0586,0.0527,93631680,502464,0.005366388811991839,91268544,0.9748,502464,0.0054,86039808,4726272,,,,,0.9747613628207888,0.005366388811991839,5.0355,oracle,0.6666666666666666,0.6666666666666666,2.0,,,,,True,0.2,16,False,0,0,93129216,cuda:0,bf16
